date,index_value,daily_return
2021-09-28,2161.2227034011,-0.0331202349
2021-09-29,2146.2150660897,-0.0069440494
2021-09-30,2143.4276853120,-0.0012987425
2021-10-01,2162.3520887864,0.0088290375
2021-10-04,2111.2366275102,-0.0236388244
2021-10-05,2143.3428286418,0.0152072964
2021-10-06,2159.0391115003,0.0073232722
2021-10-07,2184.0734660510,0.0115951371
2021-10-08,2166.4870036493,-0.0080521387
2021-10-11,2162.8453304838,-0.0016809116
2021-10-12,2164.1037508831,0.0005818356
2021-10-13,2199.7692661951,0.0164805016
2021-10-14,2248.9791021967,0.0223704535
2021-10-15,2256.8615469875,0.0035048991
2021-10-18,2281.2431739751,0.0108033331
2021-10-19,2296.0500108565,0.0064906876
2021-10-20,2297.3770087646,0.0005779482
2021-10-21,2318.1151729791,0.0090268877
2021-10-22,2317.0833666303,-0.0004451057
2021-10-25,2322.0667307249,0.0021507056
2021-10-26,2331.1504399422,0.0039119071
2021-10-27,2318.9456503841,-0.0052355221
2021-10-28,2358.9646397841,0.0172574072
2021-10-29,2375.3582740894,0.0069495040
2021-11-01,2383.7867768344,0.0035483080
2021-11-02,2411.3505505892,0.0115630198
2021-11-03,2428.3759675828,0.0070605317
2021-11-04,2478.1689335598,0.0205046363
2021-11-05,2497.5381108842,0.0078159229
2021-11-08,2530.0159623986,0.0130039463
2021-11-09,2545.1807586434,0.0059939528
2021-11-10,2482.7839060529,-0.0245156861
2021-11-11,2504.7684928778,0.0088548128
2021-11-12,2532.3475259684,0.0110106116
2021-11-15,2533.5246157197,0.0004648216
2021-11-16,2555.3101070817,0.0085988868
2021-11-17,2548.3566399230,-0.0027211833
2021-11-18,2569.5853328966,0.0083303462
2021-11-19,2569.3971994595,-0.0000732155
2021-11-22,2518.0916763337,-0.0199679221
2021-11-23,2500.7341327276,-0.0068931341
2021-11-24,2532.7606025881,0.0128068272
2021-11-26,2485.3083945962,-0.0187353704
2021-11-29,2543.0805473974,0.0232454664
2021-11-30,2488.2296601908,-0.0215686787
2021-12-01,2437.8083105951,-0.0202639452
2021-12-02,2473.4388183077,0.0146157955
2021-12-03,2449.2854091405,-0.0097651128
2021-12-06,2443.8872343732,-0.0022039795
2021-12-07,2542.8487907808,0.0404935036
2021-12-08,2555.8036422266,0.0050946212
2021-12-09,2506.5460079777,-0.0192728555
2021-12-10,2532.1870636434,0.0102296370
2021-12-13,2499.3045758790,-0.0129858051
2021-12-14,2452.5919738639,-0.0186902399
2021-12-15,2546.7152643471,0.0383770686
2021-12-16,2466.7671982011,-0.0313926206
2021-12-17,2469.3583889907,0.0010504399
2021-12-20,2446.1774989448,-0.0093874142
2021-12-21,2527.9274877536,0.0334194836
2021-12-22,2544.2688766191,0.0064643424
2021-12-23,2567.8539725481,0.0092698913
2021-12-27,2618.8329528710,0.0198527568
2021-12-28,2591.7911855041,-0.0103258848
2021-12-29,2598.5356440897,0.0026022384
2021-12-30,2579.5828305385,-0.0072936516
2021-12-31,2565.9167310661,-0.0052977944
2022-01-03,2567.2930063740,0.0005363679
2022-01-04,2524.7839519979,-0.0165579286
2022-01-05,2431.4447540005,-0.0369691822
2022-01-06,2449.7901258787,0.0075450499
2022-01-07,2416.1363899399,-0.0137373955
2022-01-10,2420.5434010643,0.0018239910
2022-01-11,2455.8660985999,0.0145928792
2022-01-12,2466.5112341600,0.0043345749
2022-01-13,2398.0790125098,-0.0277445408
2022-01-14,2426.2057331639,0.0117288548
2022-01-18,2342.0171336223,-0.0346996952
2022-01-19,2304.2632315688,-0.0161202502
2022-01-20,2264.9909256781,-0.0170433245
2022-01-21,2198.4976861394,-0.0293569563
2022-01-24,2232.3486405929,0.0153973118
2022-01-25,2146.0395131076,-0.0386629247
2022-01-26,2143.4018503388,-0.0012290840
2022-01-27,2099.6305675067,-0.0204214076
2022-01-28,2153.3719303350,0.0255956279
2022-01-31,2250.9447678766,0.0453116511
2022-02-01,2269.8387605752,0.0083938056
2022-02-02,2288.7212650191,0.0083188748
2022-02-03,2193.9457429991,-0.0414098141
2022-02-04,2236.6560534655,0.0194673504
2022-02-07,2240.0524290893,0.0015185060
2022-02-08,2269.0998526436,0.0129672963
2022-02-09,2344.0260422792,0.0330202259
2022-02-10,2309.9239609146,-0.0145485079
2022-02-11,2209.4618911979,-0.0434915051
2022-02-14,2202.8550889189,-0.0029902314
2022-02-15,2292.5220160751,0.0407048687
2022-02-16,2287.4999278480,-0.0021906390
2022-02-17,2210.4261697171,-0.0336934472
2022-02-18,2174.3390773726,-0.0163258528
2022-02-22,2147.4425520453,-0.0123699774
2022-02-23,2070.3971378757,-0.0358777533
2022-02-24,2161.6042491277,0.0440529547
2022-02-25,2191.3082867558,0.0137416632
2022-02-28,2188.9975549586,-0.0010544987
2022-03-01,2138.7886009640,-0.0229369621
2022-03-02,2199.8177876338,0.0285344642
2022-03-03,2130.7310439339,-0.0314056665
2022-03-04,2073.1428242815,-0.0270274467
2022-03-07,1972.4952909941,-0.0485482872
2022-03-08,1977.6978193323,0.0026375365
2022-03-09,2077.8160784839,0.0506236383
2022-03-10,2059.9833825295,-0.0085824227
